Position,Link,Location,Company name,Company link,Apply link,Contact person
QA Tester,https://de.linkedin.com/jobs/view/qa-tester-at-cloud-imperium-games-3220652823?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=O%2BCiDaekxs6zjrCtaerZ3Q%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"Frankfurt am Main, Hesse, Germany",Cloud Imperium Games,https://www.linkedin.com/company/cloud-imperium-games?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/externalApply/3220652823?url=https%3A%2F%2Fwww%2Egamesjobsdirect%2Ecom%2Fdetails%2FQA-Tester%2F207782%3FLinkedInGamesJobsDirect&urlHash=o5Ei&refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=O%2BCiDaekxs6zjrCtaerZ3Q%3D%3D&trk=public_jobs_apply-link-offsite,
QA Engineer,https://de.linkedin.com/jobs/view/qa-engineer-at-pagonxt-a-santander-company-3189662210?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=7leQmocpTPk1wkZwZpZWAw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Munich, Bavaria, Germany",PagoNxt (a Santander company),https://es.linkedin.com/company/pagonxt?trk=public_jobs_jserp-result_job-search-card-subtitle,,https://www.linkedin.com/login?session_redirect=https%3A%2F%2Fes%2Elinkedin%2Ecom%2Fin%2Fpabloportillahr&emailAddress=&fromSignIn=&trk=public_jobs_message-the-recruiter-cta
Mid Manual QA engineer (M/F/D),https://de.linkedin.com/jobs/view/mid-manual-qa-engineer-m-f-d-at-nord-security-3260010351?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=f7wHyikz6KOwtZT96YlOEw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"Berlin, Berlin, Germany",Nord Security,https://www.linkedin.com/company/nordsecurity?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/externalApply/3260010351?url=https%3A%2F%2Fjobs%2Elever%2Eco%2Fnordsec%2F3221a668-04f4-4378-a2a5-4d03d3d1a2d5%2Fapply%3Flever-source%3DLinkedIn&urlHash=PPD4&refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=f7wHyikz6KOwtZT96YlOEw%3D%3D&trk=public_jobs_apply-link-offsite,
Quality Assurance Engineer - App (m/f/d) - ABOUT YOU,https://de.linkedin.com/jobs/view/quality-assurance-engineer-app-m-f-d-about-you-at-about-you-3256989252?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=3bi5rH6dkQbptncp8bmY3A%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"Hamburg, Hamburg, Germany",ABOUT YOU,https://de.linkedin.com/company/about-you?trk=public_jobs_jserp-result_job-search-card-subtitle,,
Junior QA engineer,https://de.linkedin.com/jobs/view/junior-qa-engineer-at-farmtiger-3267776109?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=UOYZNvv4NB%2FK2QIn9yxSgw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"Constance, Baden-Württemberg, Germany",FarmTiger,https://de.linkedin.com/company/farmtiger?trk=public_jobs_jserp-result_job-search-card-subtitle,,
QA Engineer (m/f/d),https://de.linkedin.com/jobs/view/qa-engineer-m-f-d-at-heyflow-3259747772?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=6LLPWDczPRk3rfj7RoCLqA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,Germany,Heyflow,https://de.linkedin.com/company/heyflowapp?trk=public_jobs_jserp-result_job-search-card-subtitle,,
QA Engineer (f/m/d),https://de.linkedin.com/jobs/view/qa-engineer-f-m-d-at-justtrack-3266414882?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=DkFKRI1vDavgfr3IPMLpCQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Hamburg, Hamburg, Germany",justtrack,https://de.linkedin.com/company/justtrack?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/externalApply/3266414882?url=https%3A%2F%2Fjoin%2Ecom%2Fcompanies%2Fjusttrack%2F5784507-qa-engineer-f-m-d%3Fpid%3Dd7cb2e8e859c62cd7f75&urlHash=SHJV&refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=DkFKRI1vDavgfr3IPMLpCQ%3D%3D&trk=public_jobs_apply-link-offsite,
QA Engineer (m/f/d),https://de.linkedin.com/jobs/view/qa-engineer-m-f-d-at-teamviewer-3204068770?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=6IDYYaQfYuWVmwCqkw8IOA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,"Stuttgart, Baden-Württemberg, Germany",TeamViewer,https://de.linkedin.com/company/teamviewer?trk=public_jobs_jserp-result_job-search-card-subtitle,,
Quality Assurance Engineer (m/f/d),https://de.linkedin.com/jobs/view/quality-assurance-engineer-m-f-d-at-matrix42-3281121763?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=gU2K5fAzmSC2tB2qkhwrug%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"Frankfurt, Hesse, Germany",Matrix42,https://de.linkedin.com/company/matrix42?trk=public_jobs_jserp-result_job-search-card-subtitle,,
QA Engineer - QA (GERMANY Remote),https://de.linkedin.com/jobs/view/qa-engineer-qa-germany-remote-at-turnitin-3274883262?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=dnLgtf4DmKX03sBvuQEeeg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"Berlin, Berlin, Germany",Turnitin,https://www.linkedin.com/company/turnitin?trk=public_jobs_jserp-result_job-search-card-subtitle,,
Quality Assurance Engineer (m/f/d) - onsite or remote within the EU,https://de.linkedin.com/jobs/view/quality-assurance-engineer-m-f-d-onsite-or-remote-within-the-eu-at-about-you-3263488831?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=3WxuwX1QqXKq10K8DA9vaQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,"Hamburg, Hamburg, Germany",ABOUT YOU,https://de.linkedin.com/company/about-you?trk=public_jobs_jserp-result_job-search-card-subtitle,,
Software QA Tester (m/f/d),https://de.linkedin.com/jobs/view/software-qa-tester-m-f-d-at-hornetsecurity-3263427012?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=PeXiDgODkdWvWywzbmlnrQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,"Darmstadt, Hesse, Germany",Hornetsecurity,https://de.linkedin.com/company/hornetsecurity?trk=public_jobs_jserp-result_job-search-card-subtitle,,
QA Engineer (f/m/d),https://de.linkedin.com/jobs/view/qa-engineer-f-m-d-at-adjoe-3263178255?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=McPngzq3Y1Qhpcfqk%2BEBDw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"Hamburg, Hamburg, Germany",adjoe,https://de.linkedin.com/company/adjoe?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/externalApply/3263178255?url=https%3A%2F%2Fjoin%2Ecom%2Fcompanies%2Fadjoe%2F5756033-qa-engineer-f-m-d%3Fpid%3Dd7cb2e8e859c62cd7f75&urlHash=5oOp&refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=McPngzq3Y1Qhpcfqk%2BEBDw%3D%3D&trk=public_jobs_apply-link-offsite,
QA Engineer (all genders),https://de.linkedin.com/jobs/view/qa-engineer-all-genders-at-lumiform-3277991752?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=aywuqoRumuDBl6JAbOZowQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,"Berlin, Berlin, Germany",Lumiform,https://de.linkedin.com/company/lumiform?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/externalApply/3263178255?url=https%3A%2F%2Fjoin%2Ecom%2Fcompanies%2Fadjoe%2F5756033-qa-engineer-f-m-d%3Fpid%3Dd7cb2e8e859c62cd7f75&urlHash=5oOp&refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=McPngzq3Y1Qhpcfqk%2BEBDw%3D%3D&trk=public_jobs_apply-link-offsite,
Quality Assurance Engineer,https://de.linkedin.com/jobs/view/quality-assurance-engineer-at-dreamit-gmbh-3028787691?refId=%2BOHoeettzrcW9pgt%2F5YvJQ%3D%3D&trackingId=ItRZjB6YMoqxuzbocmLtkg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,Germany,dreamIT GmbH,https://de.linkedin.com/company/dreamit-gmbh?trk=public_jobs_jserp-result_job-search-card-subtitle,,https://www.linkedin.com/login?session_redirect=https%3A%2F%2Fde%2Elinkedin%2Ecom%2Fin%2Ffrederik-koenig&emailAddress=&fromSignIn=&trk=public_jobs_message-the-recruiter-cta
